attendance,study_hours,assignment_score,previous_exam_score,internal_test_score,sleep_hours,screen_time,assignments_completed,class_participation,previous_backlogs,performance
87.3,4.6,79.1,79.6,69.7,6.4,6.5,65.8,66.9,2,Good
82.7,3.6,85.5,65.9,71.9,8.3,6.0,77.0,48.2,1,Good
90.9,4.9,94.4,84.0,66.1,6.7,1.5,96.6,56.3,0,Excellent
100,3.0,83.7,76.7,71.3,6.4,2.6,76.4,83.9,0,Good
94.5,4.4,90.3,79.3,65.4,8.5,2.2,84.0,65.2,0,Excellent
81.6,2.7,76.6,58.3,60.0,7.6,1.8,70.6,49.1,3,Good
73.9,5.7,78.1,80.1,70.3,7.4,3.7,98.9,91.5,0,Excellent
64.1,0.5,63.1,62.1,49.3,6.7,3.3,55.9,59.6,2,Average
75.0,2.8,52.7,63.5,59.4,10,4.4,68.0,69.1,2,Average
77.2,2.6,71.8,55.9,58.9,7.2,5.2,65.2,71.8,0,Good
70.9,2.9,63.9,60.1,81.4,6.9,3.5,64.1,41.8,1,Average
74.5,4.1,68.8,72.0,71.6,7.5,2.7,70.9,55.0,0,Good
92.8,3.2,69.3,72.5,73.7,7.1,2.9,67.6,57.0,1,Good
82.4,1.7,55.4,46.3,61.8,6.6,4.4,68.2,17.9,4,Poor
82.0,3.2,70.1,72.6,58.6,5.9,6.6,68.4,40.8,1,Average
63.6,2.1,53.3,63.0,76.5,6.4,6.2,100,43.7,2,Poor
68.6,0.6,49.6,57.6,72.7,6.3,7.4,76.5,20.5,4,Poor
53.9,2.2,54.0,52.3,73.4,8.4,4.8,63.9,39.3,3,Poor
84.1,4.8,93.4,90.4,79.2,7.8,3.6,96.6,86.1,0,Excellent
74.1,3.9,78.7,61.8,57.2,9.5,4.6,56.1,50.3,3,Average
73.4,2.0,85.0,79.0,56.4,6.2,5.0,76.1,73.4,0,Good
64.7,1.9,74.3,87.6,55.1,7.1,4.9,66.8,55.2,2,Average
82.0,1.8,39.8,56.9,64.7,5.6,6.3,54.0,46.6,1,Poor
82.7,3.6,81.4,69.0,66.2,8.9,1.7,86.7,52.1,2,Good
79.8,3.6,65.0,70.8,64.5,7.8,6.2,69.1,57.6,1,Average
67.9,3.6,69.7,60.4,74.6,9.4,3.5,74.3,36.7,0,Average
68.2,2.5,70.9,53.0,29.2,7.9,4.2,71.6,31.9,3,Average
85.2,5.2,97.1,82.9,76.0,6.0,3.1,93.1,72.6,1,Good
74.9,3.3,70.0,72.9,43.9,8.0,5.2,61.4,23.6,2,Average
80.8,2.6,68.8,46.4,69.2,8.2,5.2,80.4,58.2,3,Average
68.9,0.5,78.7,63.8,69.3,6.9,3.6,75.1,52.8,0,Average
77.4,5.3,74.6,86.9,56.1,9.5,6.1,84.5,61.7,1,Good
98.0,5.1,99.4,99.9,87.5,5.4,1.1,92.4,63.9,0,Excellent
98.8,5.6,86.8,92.1,67.0,7.0,1.9,90.5,47.1,1,Excellent
85.7,4.3,63.5,63.0,87.7,7.5,2.5,85.6,67.7,0,Excellent
100,5.5,100,68.3,73.0,7.7,2.4,100,47.4,0,Excellent
88.4,6.7,69.7,71.1,85.8,8.9,0.5,88.9,95.5,0,Excellent
71.2,2.4,70.6,52.0,76.7,7.0,6.1,76.2,51.9,1,Average
64.9,2.5,52.2,54.1,57.7,7.6,8.4,53.1,67.8,3,Poor
89.9,3.3,64.1,76.5,67.4,7.2,2.3,56.0,70.6,0,Excellent
100,4.4,79.4,70.8,83.4,6.6,3.4,62.4,58.8,1,Good
83.9,1.3,70.7,60.6,73.8,5.1,5.6,68.5,34.6,1,Average
89.1,5.5,91.7,67.6,91.6,7.5,2.0,82.0,83.2,1,Excellent
100,3.5,82.1,76.9,71.9,8.5,3.0,80.7,76.5,0,Good
70.3,0.5,70.8,49.8,55.8,6.3,6.1,60.0,50.8,2,Poor
90.2,4.9,79.5,84.1,84.7,5.9,4.9,79.7,59.2,0,Excellent
100,5.3,93.0,80.9,74.7,9.6,1.1,87.7,45.9,1,Excellent
88.2,1.0,60.0,50.4,52.8,6.9,7.3,55.4,59.2,0,Average
79.8,4.8,75.6,52.1,75.6,5.2,3.8,78.5,38.3,2,Good
74.8,4.0,57.3,50.6,89.0,8.5,2.9,75.3,87.9,1,Good
75.6,5.7,65.1,56.6,50.9,6.2,6.2,67.5,76.1,1,Good
65.4,2.6,70.1,67.9,71.3,6.4,3.3,57.3,73.3,2,Average
89.7,3.9,65.7,67.7,65.4,7.8,5.4,42.3,38.8,3,Average
85.2,5.5,74.5,57.3,90.7,7.6,6.0,64.9,83.5,0,Excellent
89.7,4.5,63.5,84.0,77.6,7.9,4.3,80.8,62.3,2,Good
94.2,5.7,91.1,70.4,75.5,7.8,4.4,70.8,62.0,0,Excellent
66.1,4.1,66.2,51.4,72.4,7.4,5.7,82.3,65.6,2,Average
90.1,4.0,85.8,76.0,79.4,8.7,2.6,71.4,76.5,0,Good
86.0,3.1,72.8,55.8,72.0,6.1,6.2,50.2,65.5,1,Average
89.5,2.2,68.4,81.7,52.2,6.9,3.7,84.5,44.1,2,Good
73.7,0.8,66.5,53.2,64.3,7.4,8.2,67.3,58.0,2,Average
63.6,5.1,75.4,68.2,50.6,6.1,4.2,61.7,39.4,2,Average
93.1,4.0,66.3,78.9,85.5,6.6,8.0,87.2,59.3,0,Good
80.1,5.9,86.3,76.9,73.8,10,4.6,82.7,63.3,0,Good
70.9,2.0,60.4,67.9,44.9,7.2,6.1,75.4,28.4,3,Average
79.7,5.5,74.9,65.7,93.6,8.5,6.6,86.5,76.4,0,Excellent
63.0,2.0,48.1,61.9,54.5,8.2,8.0,79.4,36.4,1,Average
91.7,1.9,66.6,62.9,68.8,7.1,7.3,70.9,67.4,2,Average
86.0,4.7,74.5,74.6,77.1,6.7,3.6,84.0,98.8,1,Excellent
72.6,0.5,55.9,56.0,41.7,7.0,8.0,51.4,44.3,2,Poor
83.6,4.6,74.3,42.7,52.4,6.1,5.9,78.9,66.8,3,Average
65.4,1.6,60.7,53.6,64.1,9.6,4.9,59.4,47.5,3,Poor
96.1,3.8,96.7,61.6,72.4,7.1,5.1,84.8,54.7,0,Good
79.7,1.4,61.3,72.6,61.3,7.8,6.0,59.0,72.7,1,Average
56.4,0.8,47.6,44.5,21.5,6.5,6.8,52.9,36.6,2,Poor
77.8,4.0,54.8,52.7,100,6.8,8.0,92.5,72.6,3,Good
87.3,6.0,68.3,53.6,63.9,6.7,4.9,86.3,68.3,1,Good
77.2,0.9,59.1,53.6,50.1,8.3,5.3,81.9,33.9,4,Average
87.6,5.4,79.8,94.4,77.4,6.0,2.7,66.1,77.5,0,Good
78.7,2.9,77.2,50.5,69.2,5.1,6.4,63.6,31.0,0,Average
58.0,0.7,63.3,52.4,72.0,7.1,5.5,67.4,39.4,2,Poor
74.4,1.6,77.8,49.1,69.2,8.6,3.7,80.0,34.4,4,Average
84.8,3.9,79.8,69.5,42.1,7.9,4.9,97.5,80.7,2,Good
81.6,0.5,67.0,48.0,60.6,8.0,7.9,49.6,60.4,3,Average
71.9,1.8,56.2,56.8,60.2,8.2,7.2,64.6,69.2,4,Poor
57.4,0.9,57.9,49.6,46.6,7.4,6.0,58.9,16.8,5,Poor
78.1,3.1,74.0,56.8,43.1,8.0,5.8,37.0,37.7,2,Average
100,4.5,78.6,70.8,62.8,6.8,5.0,79.2,72.8,0,Good
79.2,3.9,75.6,61.9,74.4,6.6,2.6,83.2,60.3,1,Good
52.1,0.9,62.9,48.8,65.2,3.6,5.9,83.9,37.3,5,Poor
83.1,4.7,75.8,64.5,95.5,6.1,3.2,87.0,82.8,2,Good
87.4,4.8,95.8,81.1,68.6,8.2,4.3,80.8,68.5,0,Excellent
70.2,2.9,45.3,45.7,38.4,5.8,5.8,47.9,8.0,4,Poor
96.0,5.7,80.0,77.4,76.8,7.3,0.9,100,91.0,0,Excellent
93.3,3.7,78.0,56.4,74.6,7.5,4.1,74.0,77.2,0,Good
70.2,0.5,78.4,39.9,42.6,6.6,8.0,45.5,34.5,3,Poor
54.5,0.5,55.5,59.8,70.2,7.2,8.0,59.3,47.7,3,Poor
89.5,5.8,68.5,76.0,73.1,5.1,4.6,87.4,81.6,0,Excellent
82.1,2.6,76.5,37.4,68.6,6.9,6.7,56.6,55.8,2,Average
80.1,2.5,83.2,63.5,57.6,5.9,4.0,73.1,48.9,3,Average
66.0,0.9,48.5,51.9,40.1,8.3,6.7,55.8,25.0,1,Poor
74.3,2.1,66.8,60.5,65.2,6.5,4.4,94.5,43.8,0,Good
74.9,7.5,85.5,82.3,91.4,8.1,2.9,85.7,72.1,0,Excellent
99.1,5.2,71.0,76.4,64.3,6.9,4.8,86.1,90.3,0,Excellent
82.6,4.2,58.7,70.9,71.7,6.8,2.1,77.4,79.4,3,Good
83.8,1.2,57.2,59.5,53.6,7.4,7.2,46.0,47.2,2,Average
98.0,5.4,67.7,84.9,79.0,7.8,3.8,91.0,77.9,0,Excellent
73.7,0.5,34.5,59.5,57.7,7.0,6.7,66.6,31.3,5,Poor
87.4,3.2,84.6,74.9,78.4,8.7,3.9,81.8,63.5,0,Good
83.0,2.5,86.3,77.6,68.0,5.8,3.6,82.2,47.3,2,Good
56.0,1.6,56.0,40.8,63.5,6.5,9.2,54.6,28.9,4,Poor
73.7,0.7,60.9,59.7,65.9,8.6,6.3,59.8,74.0,1,Average
85.0,4.8,85.7,86.4,79.7,8.8,8.1,100,81.2,2,Good
64.8,3.1,46.3,62.0,70.0,6.6,2.7,82.3,52.8,4,Average
85.2,4.9,100,78.4,70.4,7.0,3.9,89.0,73.7,0,Excellent
79.0,1.4,57.3,60.6,70.3,7.6,5.3,70.1,50.6,3,Average
69.9,2.2,57.3,41.9,50.2,6.5,6.4,69.3,72.5,2,Average
75.2,4.4,89.1,56.0,43.4,7.2,7.0,76.6,68.7,1,Good
75.4,0.5,76.5,60.8,90.9,6.5,5.5,81.6,65.0,0,Average
87.1,4.1,82.2,88.1,83.3,8.1,6.1,100,87.6,0,Good
78.1,4.4,75.0,75.7,71.8,7.1,5.7,83.8,59.6,1,Good
74.5,0.5,61.0,56.4,35.5,6.4,4.7,58.4,44.7,4,Poor
63.8,4.6,65.9,58.7,46.5,8.7,9.7,52.1,27.7,5,Poor
58.2,0.5,59.5,39.7,44.3,7.2,7.2,62.8,60.1,3,Poor
65.4,1.8,54.2,51.2,33.8,5.7,6.7,56.4,62.2,4,Poor
83.5,5.9,85.5,62.2,58.0,7.5,2.3,76.9,85.7,0,Excellent
79.1,3.9,81.5,65.7,64.6,7.3,4.0,100,59.6,0,Good
86.6,4.1,67.8,65.6,87.6,4.6,2.4,93.2,62.7,0,Good
55.7,2.3,57.4,56.6,71.0,6.4,4.2,57.7,13.1,1,Average
81.6,0.5,60.9,51.4,57.0,7.4,7.7,68.8,38.9,5,Poor
81.1,2.2,84.9,52.2,74.0,7.4,2.2,64.4,27.0,1,Good
91.0,3.4,73.8,84.3,82.7,5.8,2.1,100,64.2,0,Good
87.8,6.6,76.9,88.5,70.4,8.3,2.5,89.2,60.1,1,Excellent
58.6,0.5,65.3,46.8,48.0,9.1,5.1,78.0,43.3,3,Poor
53.7,0.9,68.8,59.7,69.0,9.2,6.8,45.6,37.5,2,Poor
70.6,1.9,49.2,36.0,52.2,7.6,5.0,61.6,50.2,3,Poor
93.8,2.1,80.8,73.2,81.5,4.8,4.7,80.8,61.0,1,Average
90.6,1.9,87.3,68.9,65.2,6.4,3.7,91.0,53.5,0,Good
100,4.0,79.2,72.4,74.5,7.8,3.6,79.8,77.8,1,Excellent
83.2,0.5,59.5,70.8,54.9,8.3,4.7,62.7,47.9,2,Average
82.9,8.1,76.1,71.8,72.4,7.7,3.7,98.0,56.6,0,Excellent
83.5,7.2,74.9,78.8,61.1,6.7,3.4,83.4,70.2,2,Excellent
94.0,4.5,77.4,59.5,77.3,7.2,5.6,75.2,82.1,0,Good
67.8,2.7,55.1,71.7,64.9,5.5,6.4,38.3,35.4,2,Poor
81.2,2.3,68.4,63.3,80.8,6.6,5.8,61.0,73.3,0,Good
80.4,2.9,84.3,64.5,58.7,8.7,3.7,73.5,67.8,2,Average
89.8,3.3,66.4,66.3,74.5,7.6,1.1,65.5,93.5,2,Average
66.0,0.5,59.1,66.5,57.5,7.6,6.5,81.3,37.6,4,Poor
69.3,0.5,61.1,52.4,59.6,6.5,7.8,56.3,40.6,2,Poor
74.8,4.1,71.2,61.3,62.7,5.9,4.9,94.8,67.5,0,Average
94.5,2.8,73.3,71.6,88.3,6.6,3.7,69.7,76.5,1,Good
63.4,1.3,47.2,43.9,66.6,6.2,6.4,53.5,33.1,4,Poor
78.0,2.3,81.7,53.9,72.1,6.7,5.1,74.5,50.8,1,Average
52.2,0.5,63.1,49.9,37.2,9.0,6.5,54.6,37.7,3,Poor
58.6,1.8,48.9,48.9,46.2,5.5,6.0,58.6,20.6,3,Poor
76.1,5.3,68.6,66.0,66.5,5.1,4.2,84.0,41.0,2,Good
68.0,2.3,42.1,49.5,53.7,5.4,8.0,64.3,71.2,1,Poor
86.0,6.4,87.8,79.2,74.4,6.3,2.1,97.3,74.4,2,Excellent
83.0,0.5,52.4,67.6,53.6,6.8,6.6,64.4,41.5,2,Average
77.7,5.0,96.5,73.6,85.6,4.3,5.6,86.4,89.7,1,Good
81.5,3.5,92.5,90.1,100,7.5,6.0,100,57.9,0,Good
94.2,5.5,69.8,93.4,63.3,8.0,3.3,93.2,72.7,0,Excellent
77.5,4.0,64.2,49.6,66.4,6.0,5.6,100,69.8,1,Average
79.7,3.4,87.9,65.3,80.7,5.8,5.3,54.7,61.1,1,Good
74.6,2.7,64.8,31.8,61.4,7.2,6.0,64.5,22.3,3,Poor
100,6.3,86.6,76.2,77.1,6.5,3.6,70.5,76.3,1,Excellent
77.9,3.0,78.3,71.4,58.8,6.8,3.0,65.3,45.7,2,Good
52.9,1.4,47.3,49.5,37.5,6.4,4.6,71.3,55.5,3,Poor
93.9,1.4,72.1,83.7,71.1,6.3,1.4,81.1,66.3,0,Good
95.3,6.9,94.1,84.0,97.2,6.5,2.7,64.4,92.4,1,Excellent
73.2,0.6,48.8,35.0,65.8,8.4,5.6,48.8,32.1,3,Poor
65.6,3.5,53.6,64.5,74.3,5.5,7.1,74.5,37.9,0,Good
77.7,0.5,50.6,73.5,61.8,6.4,7.9,68.4,52.7,2,Poor
63.6,1.1,74.5,49.4,55.7,6.0,4.9,53.9,66.3,4,Poor
93.1,3.7,72.3,63.7,79.0,7.7,1.1,65.7,61.8,0,Excellent
77.9,5.0,68.4,76.7,72.4,8.0,6.0,86.2,89.2,1,Excellent
89.9,7.5,79.3,72.2,79.1,6.7,5.8,100,74.2,0,Excellent
79.7,5.4,97.7,82.5,71.1,8.4,3.8,69.7,88.3,0,Good
84.5,2.6,66.3,75.3,64.9,5.7,7.8,54.1,34.9,1,Average
62.9,1.3,31.1,46.3,57.0,9.9,8.3,55.4,33.0,4,Poor
89.6,5.9,82.5,79.1,56.0,7.1,4.2,96.7,100,1,Excellent
70.2,1.4,68.7,53.0,78.6,4.3,4.4,51.1,54.8,2,Average
77.9,4.7,84.9,62.1,67.9,8.2,0.5,72.3,84.6,0,Excellent
90.7,2.7,88.5,69.5,69.9,6.2,2.2,100,59.0,0,Good
62.4,3.4,57.8,39.3,54.5,5.5,6.0,72.7,37.5,4,Average
96.1,4.3,64.0,67.2,67.1,7.7,1.2,75.0,70.0,0,Good
91.7,2.7,55.1,45.1,64.9,6.4,4.9,68.7,65.9,2,Average
81.1,4.1,50.2,54.8,71.0,6.8,5.1,65.1,42.7,1,Average
72.4,0.5,59.9,52.3,62.3,7.2,5.6,68.8,50.4,1,Poor
85.2,1.5,69.8,70.5,72.5,7.0,7.0,64.5,85.9,4,Average
78.0,2.8,100,81.4,80.8,7.6,1.9,79.5,87.3,0,Excellent
54.7,1.2,68.7,48.7,48.5,7.2,7.7,63.9,55.9,2,Poor
96.6,4.8,86.3,71.2,69.6,7.1,4.8,82.2,64.5,0,Excellent
87.7,3.8,71.6,56.3,57.4,6.0,4.3,70.1,48.9,2,Good
91.2,1.3,78.8,79.6,75.5,5.7,1.6,89.0,82.1,2,Good
83.8,4.6,88.0,74.1,77.0,8.2,4.0,99.7,49.8,0,Excellent
57.0,0.5,67.6,35.8,38.6,5.9,4.9,65.0,54.7,2,Poor
64.1,0.5,63.7,51.3,63.3,7.3,4.6,50.0,52.7,1,Average
63.9,0.5,65.3,43.1,64.1,8.1,6.8,77.1,23.0,1,Average
88.3,3.3,67.0,64.5,57.8,6.8,5.3,79.0,87.4,1,Good
81.6,4.2,82.9,70.9,68.5,5.7,4.8,71.9,58.7,1,Good
59.7,0.5,40.0,38.3,50.0,5.6,6.5,65.3,28.1,2,Poor
85.6,5.2,83.8,83.5,74.7,6.0,4.5,100,84.4,0,Excellent
75.7,3.3,69.8,42.7,59.8,7.5,5.5,79.1,53.9,3,Average
88.1,3.4,74.5,66.7,75.7,9.9,7.1,68.7,74.3,0,Good
72.5,5.5,94.0,68.7,81.0,7.3,1.6,94.2,51.1,1,Excellent
76.8,4.9,62.6,73.2,58.9,6.6,5.2,73.6,27.6,1,Good
64.3,2.4,64.5,75.0,57.2,6.9,5.0,65.7,58.8,0,Average
83.0,0.7,54.5,46.2,56.0,7.6,2.6,76.2,25.2,3,Poor
83.7,3.8,51.6,46.7,53.2,6.2,6.0,70.2,40.2,3,Poor
70.7,2.5,56.9,35.3,51.9,7.5,7.3,76.8,34.4,3,Poor
76.8,1.8,72.1,43.4,52.6,6.8,6.4,49.5,43.3,3,Average
60.2,4.5,61.3,63.9,67.6,7.8,5.0,85.9,74.1,0,Good
77.6,2.4,45.2,44.5,48.0,8.1,9.1,69.2,49.2,4,Average
81.3,4.3,75.6,76.0,81.6,7.3,2.8,70.4,62.5,0,Excellent
73.0,2.2,60.5,68.4,79.0,7.3,5.4,60.3,48.1,2,Average
71.8,1.0,59.3,48.0,68.4,7.0,5.9,45.3,40.8,3,Poor
66.8,2.3,70.6,59.7,67.2,7.9,3.9,73.8,61.3,2,Average
65.4,2.0,56.7,50.4,44.3,10.0,9.6,49.4,47.1,2,Poor
46.5,0.5,48.0,49.2,25.5,6.0,3.7,64.9,27.8,3,Poor
85.4,3.3,70.1,54.9,64.0,7.9,7.0,81.4,67.1,1,Average
58.8,4.4,70.6,46.8,59.4,7.1,9.4,53.3,21.0,2,Average
76.5,0.6,69.6,70.5,65.0,8.1,5.1,66.0,88.8,3,Average
66.0,2.7,36.3,53.6,43.1,3.8,6.8,75.3,23.0,0,Average
71.6,0.5,56.1,60.9,67.9,7.7,7.0,54.9,24.1,5,Poor
57.3,1.9,61.5,47.5,52.2,7.8,8.5,48.5,57.2,3,Poor
66.7,2.2,47.5,41.8,44.1,7.4,6.6,44.6,27.6,4,Poor
62.3,1.0,45.8,52.7,40.2,6.4,6.4,82.5,77.1,3,Poor
76.2,3.2,78.5,55.5,42.1,6.8,5.2,78.7,36.1,2,Average
63.4,1.3,44.6,40.5,43.0,6.9,8.0,35.5,31.0,2,Poor
64.8,3.4,51.7,47.9,50.7,5.9,4.4,78.2,26.2,2,Average
85.0,4.8,94.4,83.7,83.8,5.7,4.4,66.4,93.2,1,Excellent
61.5,2.4,51.0,34.8,34.4,8.4,6.6,41.4,31.9,3,Poor
80.7,4.2,81.8,71.4,55.4,6.9,4.8,100,78.2,0,Good
61.1,3.1,67.1,59.9,66.2,8.3,5.4,72.4,44.8,4,Average
89.2,4.7,70.4,69.7,58.2,4.8,5.6,85.9,51.0,3,Good
73.6,3.7,60.6,76.5,79.7,6.6,3.4,72.1,57.0,2,Good
81.9,4.6,87.2,80.0,79.1,5.9,4.8,100,77.7,1,Good
74.5,0.9,52.3,55.0,60.7,7.0,7.8,47.3,40.0,5,Poor
66.1,3.1,71.6,55.5,56.5,8.0,2.9,67.7,80.5,2,Average
75.1,1.3,57.8,69.8,52.1,6.8,4.5,64.5,70.4,5,Average
69.0,0.7,58.6,46.8,51.5,7.3,8.0,50.3,50.1,4,Poor
52.2,1.3,45.6,64.9,54.2,6.9,8.1,61.9,49.5,5,Poor
52.3,2.3,64.7,48.1,68.2,7.1,11.4,62.1,61.7,4,Poor
80.1,4.2,88.5,58.3,73.8,8.9,6.7,66.4,57.6,3,Average
87.9,2.5,56.2,66.7,67.2,8.9,6.1,53.6,41.9,2,Good
55.3,0.5,52.0,42.6,52.0,6.2,8.3,65.1,83.3,2,Poor
82.0,3.0,64.0,73.3,67.0,6.0,6.0,73.2,56.8,2,Average
97.7,5.4,80.9,72.5,94.2,7.8,2.8,100,79.3,1,Excellent
88.6,2.6,84.8,74.9,58.5,5.4,4.7,78.3,42.2,0,Good
59.0,1.8,70.3,46.7,48.9,8.2,5.4,46.7,35.6,2,Poor
70.6,0.5,57.1,49.7,70.8,7.9,7.1,91.2,58.0,2,Average
82.1,3.5,80.6,66.8,56.1,8.2,4.7,63.2,45.2,3,Good
86.0,3.4,78.1,67.1,62.4,8.7,5.7,83.5,52.5,0,Good
80.8,2.2,71.3,65.0,57.0,9.9,7.0,83.1,49.1,1,Average
65.0,0.5,50.0,47.9,40.6,6.7,4.6,47.5,20.6,3,Poor
74.7,0.5,47.8,55.6,44.8,6.7,7.4,55.3,76.0,2,Poor
89.9,4.6,67.9,72.7,84.5,7.2,0.8,79.2,100,0,Excellent
68.6,0.5,52.0,49.2,66.5,7.0,6.8,63.2,39.5,4,Poor
66.8,3.2,55.8,44.2,52.4,7.6,6.1,71.4,59.2,2,Average
67.3,0.5,37.7,61.2,49.4,5.2,7.9,75.8,33.2,2,Poor
72.1,2.4,81.9,60.4,63.1,7.5,4.4,81.3,47.8,2,Average
85.7,2.1,87.1,53.4,62.6,5.4,4.1,83.3,59.3,1,Average
89.9,7.0,86.6,71.5,85.8,7.0,3.1,68.8,86.2,0,Excellent
70.9,4.4,68.3,69.7,63.4,8.1,4.8,84.7,51.9,0,Good
73.7,1.5,58.2,64.1,68.9,5.9,8.1,87.1,69.2,1,Average
67.4,3.4,68.6,57.3,71.8,6.9,4.6,55.0,58.1,2,Average
61.7,0.7,50.2,47.5,43.6,9.4,5.3,56.9,37.9,3,Poor
64.4,0.9,56.8,60.0,54.5,8.3,4.6,50.9,61.6,3,Poor
77.2,5.3,68.9,71.9,75.5,7.0,2.2,96.5,73.7,2,Good
75.9,5.3,58.4,47.1,85.0,7.7,1.8,93.9,36.0,1,Excellent
60.8,0.5,51.8,56.2,75.8,7.6,6.5,56.2,57.2,3,Poor
76.1,2.8,53.5,67.2,60.4,10,5.7,68.2,48.3,3,Good
90.0,8.0,74.4,81.4,88.0,6.7,2.9,65.5,100,0,Excellent
72.8,2.8,74.7,77.7,65.5,6.9,7.3,76.9,30.4,1,Good
